14:13:46  [ESP32] Heap libre: 51344 B | Min: 35304 B
14:14:18  [ESP32] Heap libre: 53960 B | Min: 34164 B
14:14:33  [ESP32] Heap libre: 36580 B | Min: 34164 B
14:14:48  [ESP32] Heap libre: 53960 B | Min: 33864 B
15:39:03  [ESP32] Heap libre: 53012 B | Min: 44304 B
15:39:18  [ESP32] Heap libre: 52240 B | Min: 34040 B
15:39:33  [ESP32] Heap libre: 52236 B | Min: 33104 B
15:39:48  [ESP32] Heap libre: 53824 B | Min: 33104 B
15:48:13  [ESP32] Heap libre: 53000 B | Min: 44312 B
15:48:28  [ESP32] Heap libre: 51004 B | Min: 34032 B
15:48:43  [ESP32] Heap libre: 53824 B | Min: 34032 B
18:27:45  [ESP32] Heap libre: 54188 B | Min: 47680 B
18:28:00  [ESP32] Heap libre: 53960 B | Min: 46220 B
18:28:15  [ESP32] Heap libre: 51136 B | Min: 46220 B
18:28:30  [ESP32] Heap libre: 53960 B | Min: 45484 B
18:32:00  [ESP32] Heap libre: 53996 B | Min: 45484 B
18:32:15  [ESP32] Heap libre: 52404 B | Min: 45484 B
18:32:30  [ESP32] Heap libre: 51168 B | Min: 36164 B
18:32:45  [ESP32] Heap libre: 52404 B | Min: 36164 B
18:33:00  [ESP32] Heap libre: 51168 B | Min: 36164 B
19:48:57  [ESP32] Heap libre: 45728 B | Min: 38368 B
19:49:12  [ESP32] Heap libre: 47792 B | Min: 38368 B
19:49:27  [ESP32] Heap libre: 47792 B | Min: 38368 B
20:15:35  [ESP32] Heap libre: 45328 B | Min: 35296 B
20:15:50  [ESP32] Heap libre: 43312 B | Min: 35296 B
20:16:05  [ESP32] Heap libre: 46676 B | Min: 35296 B
20:20:20  [ESP32] Heap libre: 44916 B | Min: 35296 B
20:20:35  [ESP32] Heap libre: 46152 B | Min: 34896 B
20:20:50  [ESP32] Heap libre: 44916 B | Min: 33996 B
20:21:05  [ESP32] Heap libre: 47736 B | Min: 33908 B
20:21:20  [ESP32] Heap libre: 41892 B | Min: 32220 B
20:38:32  [ESP32] Heap libre: 48004 B | Min: 28992 B
20:38:47  [ESP32] Heap libre: 46000 B | Min: 28992 B
20:39:02  [ESP32] Heap libre: 33536 B | Min: 20948 B
20:39:17  [ESP32] Heap libre: 44764 B | Min: 20948 B
20:39:32  [ESP32] Heap libre: 47584 B | Min: 20948 B
20:39:47  [ESP32] Heap libre: 47584 B | Min: 20948 B
20:40:02  [ESP32] Heap libre: 44716 B | Min: 20948 B
20:40:17  [ESP32] Heap libre: 26272 B | Min: 10636 B
21:30:16  [ESP32] Heap libre: 47984 B | Min: 37408 B
21:30:31  [ESP32] Heap libre: 44948 B | Min: 37408 B
21:30:46  [ESP32] Heap libre: 47768 B | Min: 37408 B
21:31:01  [ESP32] Heap libre: 47548 B | Min: 37408 B
21:31:16  [ESP32] Heap libre: 47548 B | Min: 37408 B
22:06:48  [ESP32] Heap libre: 45304 B | Min: 40812 B
22:07:03  [ESP32] Heap libre: 47916 B | Min: 29044 B
22:19:03  [ESP32] Heap libre: 45120 B | Min: 29044 B
22:19:18  [ESP32] Heap libre: 47940 B | Min: 29044 B
22:19:33  [ESP32] Heap libre: 46356 B | Min: 29044 B
22:19:48  [ESP32] Heap libre: 43032 B | Min: 29044 B
22:20:04  [ESP32] Heap libre: 43816 B | Min: 27836 B
22:20:19  [ESP32] Heap libre: 47940 B | Min: 27836 B
22:20:34  [ESP32] Heap libre: 47940 B | Min: 27836 B
22:20:49  [ESP32] Heap libre: 45120 B | Min: 27836 B
22:21:04  [ESP32] Heap libre: 46356 B | Min: 27836 B
22:21:19  [ESP32] Heap libre: 47940 B | Min: 27836 B
22:21:34  [ESP32] Heap libre: 47940 B | Min: 27836 B
22:21:49  [ESP32] Heap libre: 46356 B | Min: 27836 B
